Category,Amount
Forest Processing Waste,23294.94996509085
Logging Residues,2760263.508054056
Other Forest Waste,231199.30067368498
Small-Diameter Trees,677268.8002995965
FOREST TOTAL,3692026.5589924287
Animal Manure (wet),10976184.0
Animal Bedding,932660.820255636
ANIMAL TOTAL (dry),3127897.620255636
Field Residues,7390666.0
Orchard Residues,14701977.0
Row Crop Residues,1310969.0
Orchard Culls,658525.0
Row Crop Culls,1979711.0
CROP RESIDUES TOTAL,26041848.0
High Moisture Solids,3236391.0
Low Moisture Solids,14869013.0
Processing MSW,54239694.0
Olive & Stone Fruit Pits,108740.0
PROCESSING TOTAL,72453838.0
MSW - Baseline,7138120.0
MSW - Baseline.1,6995844.0
MSW - Baseline.2,1814494.0
MSW - Baseline.3,5184231.0
MSW - Baseline.4,2403930.0
MSW - Baseline.5,7543.0
MSW - Baseline.6,5158532.0
MSW TOTAL,28702694.0
Processing Facilities (count),712.0
Distributed Energy Systems (count),48.0
Combined Heat & Power (count),39.0
Waste-to-Energy (count),8.0
