COUNTY,"COWS, MILK","COWS, BEEF","COWS, OTHER",TOTAL CATTLE,Unnamed: 5
Alameda,0,9000,5700,14700,
Alpine,0,200,100,300,
Amador,0,8800,3800,12600,
Butte,350,7900,4350,12600,
Calaveras,0,8100,4500,12600,
Colusa,0,9000,5400,14400,
Contra Costa,0,10200,11300,21500,
Del Norte,3100,800,6500,10400,
El Dorado,0,3600,3600,7200,
Fresno,115000,16200,263800,395000,
Glenn,16000,13400,28600,58000,
Humbolt,14500,15100,24400,54000,
Imperial,4717,3000,362283,370000,
Inyo,0,9800,2700,12500,
Kern,160000,32500,182500,375000,
Kings,185000,5700,234300,425000,
Lake,0,2300,700,3000,
Lassen,0,24500,11500,36000,
Los Angeles,0,1000,3800,4800,
Madera,78000,13800,93200,185000,
Marin,7900,10000,18600,36500,
Mariposa,0,0,21500,21500,
Mendocino,800,8800,7400,17000,
Merced,275000,27000,233000,535000,
Modoc,0,31000,15000,46000,
Mono,0,3500,700,4200,
Monterey,600,20000,31400,52000,
Napa,0,0,8600,8600,
Nevada,0,2800,1400,4200,
Orange,0,100,200,300,
Placer,300,0,11700,12000,
Plumas,0,0,15100,15100,
Riverside,39500,2000,33500,75000,
Sacramento,13300,13600,26100,53000,
San Benito,0,12000,21500,33500,
San Bernardino,46000,3900,70100,120000,
San Diego,1800,3800,5400,11000,
San Francisco,0,0,0,0,
San Joaquin,100000,18800,101200,220000,
San Luis Obispo,0,31500,20500,52000,
San Mateo,0,1300,800,2100,
Santa Barbara,0,15200,27300,42500,
Santa Clara,0,7800,5600,13400,
Santa Cruz,0,400,3300,3700,
Shasta,0,14600,16400,31000,
Sierra,0,2100,6300,8400,
Siskiyou,900,30000,17100,48000,
Solano,3000,18700,28300,50000,
Sonoma,29000,11900,45100,86000,
Stanislaus,180000,27500,192500,400000,
Sutter,0,3800,2100,5900,
Tehama,3200,25000,30800,59000,
Trinity,0,3100,900,4000,
Tulare,485000,26000,559000,1070000,
Tuolumne,0,5000,2500,7500,
Ventura,0,3500,1400,4900,
Yolo,1000,0,10100,11100,
Yuba,2900,5300,3000,11200,
Other,18900,154700,0,173600,
 Total ," 1,785,767 "," 739,600 "," 2,848,433 "," 5,373,800 ",
