FID,OBJECTID,STATUS,CITY,NAME,COUNTY,Equivalent Generation,NP_MW,CF,YearLoadBDT,FUEL,NOTES,Type,wkt_geom,geom,latitude,longitude
0,0.0,active,Anderson,Sierra Pacific Anderson Facility,Shasta,14770.6,34.2,0.457,200750,WDS,0,COMB_pts,0101000020E61000007B319413ED925EC0178046E9D2374440,POINT (-122.29572 40.436124),40.436124,-122.29572
1,5.0,retired,Bieber,Big Valley Power LLC,Lassen,3236.4,9.3,0.552,146000,WDS,0,COMB_pts,0101000020E6100000AEF545425B495EC0B3EF8AE07F8F4440,POINT (-121.146195 41.12109),41.12109,-121.146195
2,8.0,retired,Blue Lake,Blue Lake Power LLC,Humboldt,4802.4,13.8,0.552,146000,WDS,0,COMB_pts,0101000020E6100000C4B3041901FF5EC0ACE3F8A1D26C4440,POINT (-123.984442 40.850178),40.850178,-123.984442
3,12.0,retired,Ione,Buena Vista Biomass Power,Amador,18270.0,22.5,0.08800000000000001,200750,WDS,0,COMB_pts,0101000020E61000008BDEA9807B3A5EC02B5E2C0C91234340,POINT (-120.913788 38.27786399999999),38.27786399999999,-120.913788
4,13.0,active,Burney,Burney Forest Products,Shasta,3968.0,31.0,0.772,146000,WDS,logging mill waste,COMB_pts,0101000020E61000008121AB5B3D675EC09252D0ED25754440,POINT (-121.61312 40.91521999999999),40.91521999999999,-121.61312
5,14.0,retired,Burney,Burney Mountain Power,Shasta,3967.2,11.4,0.552,146000,WDS,0,COMB_pts,0101000020E6100000DA70581AF8685EC08F1D54E23A744440,POINT (-121.640143 40.908047),40.908047,-121.640143
6,1.0,active,Chowchilla,Chowchilla Biomass LLC,Madera,3387.5,12.5,0.629,146000,WDS,0,COMB_pts,0101000020E61000002368CC24EA0F5EC0199128B4AC8D4240,POINT (-120.248666 37.106833),37.106833,-120.248666
7,16.0,active,Chester,Collins Pine Project,Plumas,9732.000000000002,12.0,0.08900000000000001,146000,WDS,forest thinnings,COMB_pts,0101000020E610000047AAEFFCA24F5EC02A745E6397264440,POINT (-121.244323 40.301495),40.301495,-121.244323
8,20.0,active,Commerce,Commerce Refuse To Energy,Los Angeles,10800.0,12.0,0.7559999999999999,200750,MSW,0,COMB_pts,0101000020E61000008657923CD7895DC0AB22DC6454FF4040,POINT (-118.153762 33.994763),33.994763,-118.153762
9,22.0,retired,Delano,Covanta Delano Energy,Kern,19836.0,57.0,0.552,200750,WDS,0,COMB_pts,0101000020E6100000F7729F1C05CF5DC0DEAE97A608DC4140,POINT (-119.234687 35.719014),35.719014,-119.234687
10,28.0,unknown,Reedley,Dinuba Energy,Tulare,4002.0,11.5,0.552,146000,WDS,0,COMB_pts,0101000020E6100000FA7ABE66B9B25DC0C6850321594A4240,POINT (-118.792566 36.580845),36.580845,-118.792566
11,29.0,active,Merced,El Nido Facility,Merced,2737.5,12.5,0.6809999999999999,146000,WDS,0,COMB_pts,0101000020E6100000A4FD0FB0561F5EC0FFE89B340D984240,POINT (-120.489666 37.187903),37.187903,-120.489666
12,30.0,active,Samoa,Fairhaven Power,Humboldt,9080.4,18.8,0.41700000000000004,146000,WDS,sawmill,COMB_pts,0101000020E6100000D50451F7010D5FC0E2606F6248664440,POINT (-124.203245 40.79908400000001),40.79908400000001,-124.203245
13,32.0,active,Wendel,HL Power,Lassen,19149.800000000007,36.2,0.371,200750,WDS,mill waste forest thinnings logging residue urban wood waste,COMB_pts,0101000020E6100000F4FDD478E90E5EC031992A18952C4440,POINT (-120.233 40.3483),40.3483,-120.233
14,34.0,retired,Imperial,Mesquite Lake Water & Power Plant 1,Imperial,6298.8,18.1,0.552,146000,WDS,0,COMB_pts,0101000020E610000099F5622827D95CC0D0D556EC2F6F4040,POINT (-115.393015 32.86865),32.86865,-115.393015
15,0.0,active,Lincoln,Sierra Pacific Lincoln Facility,Placer,13395.200000000004,32.2,0.484,200750,WDS,forest residue sawmll,COMB_pts,0101000020E61000002B8716D9CE535EC0B5C5353E93734340,POINT (-121.3095 38.902931),38.902931,-121.3095
16,0.0,active,Loyalton,Sierra Pacific Loyalton Facility,Sierra,6959.999999999999,20.0,0.552,146000,WDS,0,COMB_pts,0101000020E61000000C569C6A2D0E5EC03573486AA1D64340,POINT (-120.221522 39.67680099999999),39.67680099999999,-120.221522
17,0.0,0,Sutter Creek,Wheelabrator Martell,Amador,8004.0,23.0,0.552,146000,WDS,0,COMB_pts,0101000020E610000043C5387F13235EC05B5EB9DE363B4340,POINT (-120.548065 38.462612),38.462612,-120.548065
18,27.0,active,Mecca,Desert View Power,Riverside,11932.499999999998,55.5,0.685,292000,WDS,urban wood waste orchard tree removal shells,COMB_pts,0101000020E61000000874266DAA055DC07A37161406CB4040,POINT (-116.088527 33.586123),33.586123,-116.088527
19,23.0,retired,Mendota,Covanta Mendota,Fresno,9744.0,28.0,0.552,146000,WDS,0,COMB_pts,0101000020E6100000789ACC785B175EC0581B6327BC604240,POINT (-120.364958 36.755742),36.755742,-120.364958
20,33.0,retired,Imperial,Mesquite Lake Energy Park Plant 2,Imperial,7308.0,21.0,0.552,146000,WDS,0,COMB_pts,0101000020E61000007BF7C77BD5E05CC00E84640113744040,POINT (-115.51303 32.90683),32.90683,-115.51303
21,35.0,retired,Westwood,Mt Lassen Power,Lassen,3967.2,11.4,0.552,146000,WDS,0,COMB_pts,0101000020E61000009CDF30D120415EC0C5CBD3B9A2264440,POINT (-121.017628 40.301841),40.301841,-121.017628
22,37.0,active,Bakersfield,Mt Poso Cogeneration,Kern,26350.0,62.0,0.475,292000,WDS,urban wood waste tree trimming ag residue,COMB_pts,0101000020E6100000EBC6BB2363C05DC05395B6B8C6C94140,POINT (-119.006051 35.576377),35.576377,-119.006051
23,0.0,active,Scotia,Scotia Co-gen Humboldt Redwood Company LLC,Humboldt,17793.750000000004,32.5,0.3525,200750,WDS,0,COMB_pts,0101000020E6100000CA8B4CC0AF065FC0C49448A2973D4440,POINT (-124.104477 40.48119),40.48119,-124.104477
24,38.0,unknown,Oroville,Pacific Oroville Power Inc,Butte,6263.999999999999,9.0,0.552,146000,WDS,0,COMB_pts,0101000020E61000002733DE567A645EC0369204E10ABE4340,POINT (-121.569967 39.484707),39.484707,-121.569967
25,0.0,active,Stockton,Stockton Biomass,San Joaquin,8694.000000000002,54.0,0.7390000000000001,146000,WDS,0,COMB_pts,0101000020E610000069C4CC3E8F545EC0261E5036E5F84240,POINT (-121.321243 37.944495),37.944495,-121.321243
26,0.0,active,Quincy,Sierra Pacific Quincy Facility,Plumas,12100.000000000002,27.5,0.4525,200750,WDS,forest waste sawmill,COMB_pts,0101000020E61000007D957CEC2E3A5EC095D39E9273F84340,POINT (-120.909114 39.941027),39.941027,-120.909114
27,40.0,active,Fresno,Rio Bravo Fresno,Fresno,4536.000000000002,28.0,0.738,219000,WDS,sorghum urban ag wood waste pits,COMB_pts,0101000020E61000000551F70148EE5DC0596E693524584240,POINT (-119.723145 36.688605),36.688605,-119.723145
28,0.0,unknown,Lincoln,Rio Bravo Rocklin,Placer,5803.200000000003,27.9,0.6920000000000001,219000,WDS,urban wood waste some ag wood waste,COMB_pts,0101000020E6100000E62494BE10545EC0D55A9885766A4340,POINT (-121.313522 38.831742),38.831742,-121.313522
29,0.0,active,Weed,Roseburg Forest Products Biomass,Siskiyou,4529.2,13.4,0.562,146000,WDS,wood manufactured wood waste,COMB_pts,0101000020E61000006E52D158FB975EC08AADA06989B74440,POINT (-122.374716 41.433881),41.433881,-122.374716
30,0.0,active,Anderson,Wheelabrator Shasta,Shasta,14792.4,62.7,0.691,292000,WDS,urban wood waste orchard tree removal shells,COMB_pts,0101000020E610000066A208A9DB915EC0A405685BCD364440,POINT (-122.279032 40.42814200000001),40.42814200000001,-122.279032
31,0.0,active,Burney,Sierra Pacific Burney Facility,Shasta,7600.0,20.0,0.52,146000,WDS,0,COMB_pts,0101000020E61000008736001B106C5EC0D4450A65E16F4440,POINT (-121.688483 40.874066),40.874066,-121.688483
32,0.0,active,Sonora,Sierra Pacific Sonora,Tuolumne,3502.5000000000005,7.5,0.433,146000,WDS,forest waste sawmill,COMB_pts,0101000020E610000054008C67D0185EC0139337C0CCFB4240,POINT (-120.38772 37.96718599999999),37.96718599999999,-120.38772
33,0.0,active,Long Beach,Southeast Resource Recovery,Los Angeles,32040.0,35.6,0.513,292000,MSW,0,COMB_pts,0101000020E61000005663096B638F5DC077BE9F1A2FE14040,POINT (-118.240443 33.75925),33.75925,-118.240443
34,25.0,unknown,Crows Landing,Covanta Stanislaus Energy,Stanislaus,21600.0,24.0,0.726,219000,MSW,0,COMB_pts,0101000020E610000036751E15FF485EC07311DF8959B14240,POINT (-121.140569 37.385545),37.385545,-121.140569
35,0.0,retired,Tracy,Thermal Energy Development Part LP,San Joaquin,8004.0,23.0,0.552,219000,WDS,urban wood waste orchard tree removal shells,COMB_pts,0101000020E6100000D74E9484445F5EC06380441328DC4240,POINT (-121.488557 37.719973),37.719973,-121.488557
36,39.0,active,Jamestown,Pacific-Ultrapower Chinese Station,Tuolumne,9825.000000000002,25.0,0.507,219000,WDS,forest waste urban construction ag residue nuts prunings forest waste,COMB_pts,0101000020E6100000A3906456EF1C5EC077DCF0BBE9F04240,POINT (-120.452108 37.882133),37.882133,-120.452108
37,0.0,active,William,Wadham Energy LP,Colusa,25740.000000000004,28.6,0.784,219000,AB,rice hulls,COMB_pts,0101000020E6100000020D36751E875EC007AD872F138D4340,POINT (-122.111234 39.10214799999999),39.10214799999999,-122.111234
38,0.0,active,Woodland,Woodland Biomass Power Ltd,Yolo,3360.0,28.0,0.78,219000,WDS,wood and ag residues,COMB_pts,0101000020E610000095F430B43A6F5EC0494DBB9866584340,POINT (-121.737958 38.690631),38.690631,-121.737958
