 COUNTY , LMS TOTAL ,ALMOND HULLS,ALMOND SHELLS,WALNUT SHELLS,OTHER NUT SHELLS,RICE HULLS,COTTON GIN TRASH,CANNERY,DEHYD.,BAKERY,TORTILLA,GRAIN CHAFF
 Alameda ," 5,637 ", -   , -   , -   , -   , -   , -   , 121 , 656 ," 4,628 ", 233 , -   
 Alpine , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Amador , 51 , -   , -   , 51 , -   , -   , -   , -   , -   , -   , -   , -   
 Butte ," 198,107 "," 80,406 "," 19,144 "," 36,896 ", -   ," 56,952 ", -   ," 1,351 "," 3,344 ", -   , -   , 13 
 Calaveras , 316 , -   , -   , 316 , -   , -   , -   , -   , -   , -   , -   , -   
 Colusa ," 414,624 "," 175,571 "," 41,803 "," 103,524 ", -   ," 92,759 ", -   , 603 , -   , -   , -   , 364 
 Contra Costa ," 1,831 ", -   , -   , 432 , -   , -   , -   , -   , -   ," 1,305 ", -   , 95 
 Del Norte , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 El Dorado , 15 , -   , -   , 15 , -   , -   , -   , -   , -   , -   , -   , -   
 Fresno ," 900,162 "," 674,478 "," 160,590 "," 5,298 ", -   , -   ," 4,082 "," 7,884 "," 46,002 "," 1,248 ", 295 , 285 
 Glenn ," 190,965 "," 89,936 "," 21,413 "," 21,190 ", -   ," 56,190 "," 1,081 ", -   , -   , -   , -   ," 1,154 "
 Humboldt , 54 , -   , -   , -   , -   , -   , -   , -   , -   , 54 , -   , -   
 Imperial ," 2,309 ", -   , -   , -   , -   , -   ," 2,309 ", -   , -   , -   , -   , -   
 Inyo , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Kern ," 713,718 "," 549,730 "," 130,888 ", 493 , -   , -   ," 30,622 "," 1,508 ", -   , 54 , -   , 423 
 Kings ," 155,418 "," 58,815 "," 14,004 "," 9,030 ", -   , -   ," 68,403 "," 4,192 ", 656 , -   , -   , 317 
 Lake , 689 , -   , -   , 689 , -   , -   , -   , -   , -   , -   , -   , -   
 Lassen , 266 , -   , -   , -   , -   , 138 , -   , -   , -   , -   , -   , 128 
 Los Angeles ," 17,100 ", -   , -   , -   , -   , -   , -   ," 2,111 ", 656 ," 13,325 "," 1,008 ", -   
 Madera ," 433,931 "," 349,221 "," 83,148 "," 1,013 ", -   , -   , 396 , -   , -   , 54 , 12 , 86 
 Marin , 54 , -   , -   , -   , -   , -   , -   , -   , -   , 54 , -   , -   
 Mariposa , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Mendocino , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Merced ," 296,425 "," 209,140 "," 49,795 "," 3,268 ", -   , -   ," 24,385 "," 5,411 "," 3,279 ", 54 , -   ," 1,094 "
 Modoc , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Mono , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Monterey , 556 , -   , -   , -   , -   , -   , -   , -   , -   , 537 , 12 , 7 
 Napa ," 1,562 ", -   , -   , -   , -   , -   , -   ," 1,508 ", -   , 54 , -   , -   
 Nevada , 54 , -   , -   , -   , -   , -   , -   , -   , -   , 54 , -   , -   
 Orange ," 4,215 ", -   , -   , -   , -   , -   , -   , 121 , 656 ," 3,379 ", 59 , -   
 Placer ," 8,260 ", -   , -   , 529 , -   ," 7,724 ", -   , -   , -   , -   , -   , 8 
 Plumas , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Riverside ," 13,501 ", -   , -   , -   , -   , -   ," 9,035 ", 121 ," 3,279 ", 821 , 96 , 150 
 Sacramento ," 11,698 ", -   , -   , 317 , -   ," 5,251 ", -   ," 3,016 ", -   ," 2,000 ", 59 ," 1,056 "
 San Benito ," 1,971 ", -   , -   , 463 , -   , -   , -   ," 1,508 ", -   , -   , -   , -   
 San Bernardino ," 8,101 ", -   , -   , -   , -   , -   , -   ," 4,259 "," 3,279 ", 268 , 295 , -   
 San Diego ," 3,857 ", -   , -   , -   , 732 , -   , -   , -   , -   ," 2,829 ", 295 , -   
 San Francisco , 633 , -   , -   , -   , -   , -   , -   , -   , -   , 633 , -   , -   
 San Joaquin ," 311,010 "," 191,152 "," 45,512 "," 63,766 ", -   ," 1,959 ", -   ," 4,832 ", -   ," 1,342 ", 12 ," 2,435 "
 San Luis Obispo , 362 , -   , -   , 295 , -   , -   , -   , -   , -   , 59 , -   , 8 
 San Mateo ," 1,270 ", -   , -   , -   , -   , -   , -   , 121 , -   ," 1,149 ", -   , 1 
 Santa Barbara , 66 , -   , -   , -   , -   , -   , -   , -   , -   , 54 , 12 , -   
 Santa Clara ," 9,505 ", -   , -   , 81 , -   , -   , -   , 603 ," 8,197 ", 612 , 12 , -   
 Santa Cruz ," 2,031 ", -   , -   , -   , -   , -   , -   ," 1,508 ", -   , 464 , 59 , -   
 Shasta ," 1,028 ", -   , -   , 492 , -   , 536 , -   , -   , -   , -   , -   , -   
 Sierra , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Siskiyou , 676 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 676 
 Solano ," 24,831 "," 7,354 "," 1,751 "," 6,591 ", -   , -   , -   , 121 ," 8,197 ", 54 , -   , 764 
 Sonoma ," 2,362 ", -   , -   , -   , -   , -   , -   , 657 , -   ," 1,640 ", 59 , 6 
 Stanislaus ," 664,452 "," 488,537 "," 116,318 "," 27,604 ", -   , 626 , -   ," 11,600 "," 19,411 ", 271 , 12 , 73 
 Sutter ," 106,671 "," 12,890 "," 3,069 "," 21,298 ", -   ," 52,357 ", -   , -   ," 16,394 ", -   , -   , 662 
 Tehama ," 50,669 "," 24,162 "," 5,753 "," 19,166 ", -   , -   , -   ," 1,508 ", -   , -   , -   , 79 
 Trinity , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Tulare ," 233,597 "," 154,647 "," 36,821 "," 33,939 ", 260 , -   ," 5,242 "," 2,521 ", -   , -   , 12 , 154 
 Tuolumne , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Ventura , 389 , -   , -   , -   , -   , -   , -   , 121 , -   , 268 , -   , -   
 Yolo ," 97,100 "," 50,307 "," 11,978 "," 7,531 ", -   ," 23,462 ", -   ," 3,016 ", -   , -   , -   , 806 
 Yuba ," 33,945 "," 1,000 ", 238 ," 7,504 ", -   ," 25,203 ", -   , -   , -   , -   , -   , -   
 Other ," 13,742 "," 8,786 "," 2,092 ", -   , 467 ," 1,333 ", 202 ,,,,, 862 
 Total ," 4,939,786 "," 3,126,132 "," 744,317 "," 371,793 "," 1,459 "," 324,491 "," 145,757 "," 60,321 "," 114,005 "," 37,262 "," 2,543 "," 11,705 "
"
",,,,,,,,,,,,
