COUNTY,LAYERS,PULLETS (LAYER REPL.),BROILERS,TURKEYS,"HOGS, PIGS",GOATS,"SHEEP, LAMBS",EQUINE,"MULES, BURROS, DONKEYS",Unnamed: 10
Alameda,798,36,128,0,25,229,1199,955,11,
Alpine,(D),0,0,0,0,,0,(D),,
Amador,3806,295,(D),(D),15,1778,656,788,21,
Butte,4963,195,1576,173,3202,1430,3923,1958,124,
Calaveras,2504,109,(D),58154,104,2422,1572,1323,144,
Colusa,250,(D),(D),(D),586,665,1890,501,46,
Contra Costa,3256,120,129,24,56,(D),571,2658,65,
Del Norte,1141,80,327,109,85,194,223,142,(D),
El Dorado,5506,655,488,180,300,3309,1257,2826,185,
Fresno,6261,17157,12377741,972869,2910,7109,67212,5027,338,
Glenn,1531,278,284,15,308,1119,3219,1166,36,
Humbolt,3069,197,557,148,440,2980,4281,1732,72,
Imperial,196,0,0,0,(D),304,56723,156,10,
Inyo,292,(D),0,0,19,,220,1108,79,
Kern,(D),(D),563,38,1181,2841,114571,3512,312,
Kings,(D),318,(D),362340,114,6004,17501,1116,72,
Lake,4229,1797,(D),74,212,1757,1278,948,101,
Lassen,1191,100,41,36,104,(D),7992,1498,23,
Los Angeles,3579,2423,456,203,239,1277,999,6018,344,
Madera,1277,125,620174,(D),402,966,1539,1807,73,
Marin,11467,2408,612,(D),155,3185,5338,601,14,
Mariposa,1032,152,1145,(D),46,1109,1098,1197,68,
Mendocino,4149,597,633,13,762,1660,10742,1975,63,
Merced,3411016,753612,(D),1626256,586,5276,23246,1978,68,
Modoc,923,85,122,6,0,2016,13462,1271,43,
Mono,72,(D),(D),0,(D),60,378,183,55,
Monterey,3303,470,(D),456,68,637,3122,1981,73,
Napa,2123,287,793,292,34,1319,903,739,32,
Nevada,5156,510,(D),76,180,1452,2362,1552,119,
Orange,440,(D),0,(D),31,-,(D),1852,(D),
Placer,4925,852,(D),78,602,3360,5361,2600,239,
Plumas,733,15,0,72,14,46,239,359,19,
Riverside,4127452,905970,700,217,1147,5090,36846,12685,148,
Sacramento,3484,681,(D),(D),407,7594,4706,5837,141,
San Benito,1502,45,(D),(D),(D),1087,1347,1585,43,
San Bernardino,1454595,320219,1397,494,1030,1962,673,4452,88,
San Diego,2268366,(D),105091,319,1705,2345,2857,8447,233,
San Francisco,0,0,0,0,0,,0,(D),,
San Joaquin,1851643,138461,327902,119,(D),2843,21256,3402,92,
San Luis Obispo,6848,709,529,175,426,1301,13276,6283,366,
San Mateo,1907,280,(D),0,17,99,185,2678,15,
Santa Barbara,3289,1035,1850,90,672,882,543,6453,116,
Santa Clara,2378,265,540,30,60,638,1234,2177,83,
Santa Cruz,(D),388,(D),(D),(D),3556,3208,592,33,
Shasta,6453,385,961,85,231,3220,1689,4385,445,
Sierra,166,(D),(D),(D),(D),,(D),244,(D),
Siskiyou,3672,287,2254,207,918,969,3494,1956,354,
Solano,(D),(D),12192,64,179,3753,58338,1437,59,
Sonoma,(D),(D),(D),(D),1001,9747,28224,4439,232,
Stanislaus,2549818,1126056,8783156,983890,(D),20939,3825,5455,217,
Sutter,968,55,72,(D),585,848,9555,809,12,
Tehama,5131,451,7015,220,1028,6221,6238,4123,368,
Trinity,1466,384,3027,20,744,(D),404,475,44,
Tulare,19044,(D),(D),(D),(D),1204,93479,4510,345,
Tuolumne,976,90,(D),(D),90,1213,979,879,154,
Ventura,4720,578,377,42,183,322,1068,3256,74,
Yolo,9162,(D),3282,24109,711,1017,15113,1500,110,
Yuba,2879,292,602,(D),230,1600,6766,2919,70,
Other,3185672,1354084,20011766,500614,87749,7088,137,50,7,
 Total ," 19,000,779 "," 4,633,588 "," 42,268,482 "," 4,532,307 "," 111,893 "," 140,042 "," 668,517 "," 142,555 "," 6,698 ",
